"Agrupación","AverageShortestPathLength","BetweennessCentrality","Categoría","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Grupo Regional","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","ODS","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Seychelles","Seychelles","0.0","0","0","","0","Infinity","false","0","Seychelles","0","0.0"
"EFS","3.2061068702290076","0.002831045906247962","","0.3119047619047619","0.0","9","5","EUROSAI","false","Serbia","Serbia","13.428571428571429","0","9","","1","0.9737368229734642","false","0","Serbia","12496","0.30313588850174217"
"EFS","3.50381679389313","1.4739603816062716E-4","","0.28540305010893247","0.0","2","6","AFROSAI","false","Senegal","Senegal","19.0","0","2","","0","0.9701926572155579","false","0","Senegal","2106","0.72"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Santo Tome y Principe","Santo Tome y Principe","0.0","0","0","","0","Infinity","false","0","Santo Tome y Principe","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Santa Sede / Vaticano","Santa Sede / Vaticano","0.0","0","0","","0","Infinity","false","0","Santa Sede / Vaticano","0","0.0"
"EFS","3.8091603053435112","0.0012156126124080134","","0.26252505010020044","0.0","2","6","CAROSAI","false","Santa Lucia","Santa Lucia","6.0","0","2","","0","0.9665576154125772","false","0","Santa Lucia","12296","0.5"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","San Vicente y las Granadinas","San Vicente y las Granadinas","0.0","0","0","","0","Infinity","false","0","San Vicente y las Granadinas","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","San Martin","San Martin","0.0","0","0","","0","Infinity","false","0","San Martin","0","0.0"
"EFS","3.763358778625954","8.997127936698409E-4","","0.2657200811359026","0.0","3","6","PASAI","false","Samoa","Samoa","11.0","0","3","","0","0.9671028716830243","false","0","Samoa","55658","0.7142857142857143"
"EFS","3.7404580152671754","0.0012403843265286329","","0.26734693877551025","0.0","2","6","CAROSAI","false","Saint Kitts y Nevis","Saint Kitts y Nevis","8.5","0","2","","0","0.9673754998182479","false","0","Saint Kitts y Nevis","13010","0.6818181818181818"
"EFS","3.3435114503816794","3.4589463392554505E-4","","0.2990867579908676","0.0","2","6","AFROSAI","false","Rwanda","Rwanda","20.0","0","2","","0","0.9721010541621228","false","0","Rwanda","2686","0.59375"
"EFS","2.954198473282443","0.0035180934221108874","","0.33850129198966405","0.0","9","5","OLACEFS","false","Rumania","Rumania","19.0","0","9","","1","0.9767357324609233","false","0","Rumania","23374","0.2647058823529412"
"EFS","2.732824427480916","0.018726648825157614","","0.36592178770949724","0.0","20","5","OLACEFS","false","Republica Dominicana","Republica Dominicana","16.55","0","20","","0","0.9793711377680843","false","0","Republica Dominicana","102078","0.18294117647058825"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Republica Democratica Popular Lao","Republica Democratica Popular Lao","0.0","0","0","","0","Infinity","false","0","Republica Democratica Popular Lao","0","0.0"
"EFS","4.0458015267175576","3.8035107464776525E-4","","0.2471698113207547","0.0","2","7","AFROSAI","false","Republica Democratica Del Congo","Republica Democratica Del Congo","17.0","0","2","","0","0.9637404580152672","false","0","Republica Democratica Del Congo","694","0.5161290322580645"
"EFS","4.465648854961832","7.554558601097932E-5","","0.22393162393162394","0.0","2","7","ASOSAI","false","Republica de Corea","Republica de Corea","11.0","0","2","","0","0.9587422755361688","false","0","Republica de Corea","138","0.6666666666666666"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Republica de Comoras","Republica de Comoras","0.0","0","0","","0","Infinity","false","0","Republica de Comoras","0","0.0"
"EFS","2.8702290076335877","0.013326458628812531","","0.3484042553191489","0.0","11","6","EUROSAI","false","Republica Checa","Republica Checa","13.9","0","11","","1","0.9777353689567431","false","0","Republica Checa","59742","0.16329113924050634"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Republica Centroafricana","Republica Centroafricana","0.0","0","0","","0","Infinity","false","0","Republica Centroafricana","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Republica Arabe Siria","Republica Arabe Siria","0.0","0","0","","0","Infinity","false","0","Republica Arabe Siria","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Reino Unido","Reino Unido","0.0","0","0","","0","Infinity","false","0","Reino Unido","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Queensland","Queensland","0.0","0","0","","0","Infinity","false","0","Queensland","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Qatar","Qatar","0.0","0","0","","0","Infinity","false","0","Qatar","0","0.0"
"EFS","3.4580152671755724","1.3347385768593757E-4","","0.28918322295805743","0.0","2","7","OLACEFS","false","Puerto Rico","Puerto Rico","33.0","0","2","","0","0.9707379134860051","false","0","Puerto Rico","1210","0.6037735849056604"
"EFS","2.8702290076335877","0.010499691835498825","","0.3484042553191489","0.0","14","5","OLACEFS","false","Portugal","Portugal","18.666666666666668","0","14","","2","0.9777353689567431","false","0","Portugal","77064","0.23873873873873874"
"EFS","2.8625954198473282","0.008802107861043825","","0.34933333333333333","0.0","16","5","EUROSAI","false","Polonia","Polonia","14.666666666666666","0","16","","2","0.9778262450018176","false","0","Polonia","47674","0.18222222222222223"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Polinesia Francesa","Polinesia Francesa","0.0","0","0","","0","Infinity","false","0","Polinesia Francesa","0","0.0"
"EFS","2.7022900763358777","0.030266126824582067","","0.3700564971751413","0.0","24","5","OLACEFS","false","Peru","Peru","15.333333333333334","0","24","","0","0.9797346419483823","false","0","Peru","147350","0.16862745098039217"
"EFS","2.786259541984733","0.011099509306042475","","0.35890410958904106","0.0","26","5","OLACEFS","false","Paraguay","Paraguay","16.884615384615383","0","26","","0","0.9787350054525626","false","0","Paraguay","185848","0.223726977248104"
"EFS","3.7709923664122136","4.2714371618594085E-4","","0.2651821862348178","0.0","2","6","PASAI","false","Papua Nueva Guinea","Papua Nueva Guinea","12.5","0","2","","0","0.9670119956379498","false","0","Papua Nueva Guinea","27814","0.8214285714285714"
"EFS","3.450381679389313","3.96220876228507E-4","","0.28982300884955753","0.0","4","7","OLACEFS","false","Panama","Panama","22.25","0","4","","0","0.9708287895310797","false","0","Panama","2094","0.4009433962264151"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Palestina","Palestina","0.0","0","0","","0","Infinity","false","0","Palestina","0","0.0"
"EFS","3.7709923664122136","4.2714371618594085E-4","","0.2651821862348178","0.0","2","6","PASAI","false","Palau","Palau","12.5","0","2","","0","0.9670119956379498","false","0","Palau","27814","0.8214285714285714"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Pakistan","Pakistan","0.0","0","0","","0","Infinity","false","0","Pakistan","0","0.0"
"EFS","3.3053435114503817","0.004134512933213381","","0.302540415704388","0.0","6","6","EUROSAI","false","Paises Bajos","Paises Bajos","11.5","0","6","","0","0.9725554343874954","false","0","Paises Bajos","14902","0.25609756097560976"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Ouzbekistan","Ouzbekistan","0.0","0","0","","0","Infinity","false","0","Ouzbekistan","0","0.0"
"EFS","3.8473282442748094","8.574376315433468E-4","","0.2599206349206349","0.0","2","6","ARABOSAI","false","Oman","Oman","6.0","0","2","","0","0.9661032351872046","false","0","Oman","17870","0.5555555555555556"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Nueva Zelandia","Nueva Zelandia","0.0","0","0","","0","Infinity","false","0","Nueva Zelandia","0","0.0"
"EFS","3.114503816793893","2.522383243327687E-4","","0.32107843137254904","0.0","2","6","OLACEFS","false","Noruega","Noruega","30.5","0","2","","0","0.9748273355143583","false","0","Noruega","3908","0.5267857142857143"
"EFS","3.3435114503816794","3.4589463392554505E-4","","0.2990867579908676","0.0","2","6","AFROSAI","false","Nigeria","Nigeria","20.0","0","2","","0","0.9721010541621228","false","0","Nigeria","2686","0.59375"
"EFS","3.50381679389313","1.4739603816062716E-4","","0.28540305010893247","0.0","2","6","AFROSAI","false","Niger","Niger","19.0","0","2","","0","0.9701926572155579","false","0","Niger","2106","0.72"
"EFS","3.450381679389313","1.7259456615449902E-4","","0.28982300884955753","0.0","3","7","OLACEFS","false","Nicaragua","Nicaragua","29.666666666666668","0","3","","0","0.9708287895310797","false","0","Nicaragua","1226","0.5408805031446541"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","New South Wales","New South Wales","0.0","0","0","","0","Infinity","false","0","New South Wales","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","New Caledonia","New Caledonia","0.0","0","0","","0","Infinity","false","0","New Caledonia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Nepal ","Nepal ","0.0","0","0","","0","Infinity","false","0","Nepal ","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Nauru","Nauru","0.0","0","0","","0","Infinity","false","0","Nauru","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Namibia","Namibia","0.0","0","0","","0","Infinity","false","0","Namibia","0","0.0"
"EFS","3.946564885496183","1.1552856595293539E-4","","0.25338491295938104","0.0","2","6","ASOSAI","false","Myanmar","Myanmar","10.5","0","2","","0","0.9649218466012359","false","0","Myanmar","536","0.6333333333333333"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Mozambique","Mozambique","0.0","0","0","","0","Infinity","false","0","Mozambique","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Montserrat","Montserrat","0.0","0","0","","0","Infinity","false","0","Montserrat","0","0.0"
"EFS","3.282442748091603","0.0015497072144257061","","0.3046511627906977","0.0","7","6","EUROSAI","false","Montenegro","Montenegro","12.4","0","7","","1","0.972828062522719","false","0","Montenegro","6746","0.2923076923076923"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Mongolia","Mongolia","0.0","0","0","","0","Infinity","false","0","Mongolia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Monaco","Monaco","0.0","0","0","","0","Infinity","false","0","Monaco","0","0.0"
"EFS","2.931297709923664","0.001721379828490404","","0.3411458333333333","0.0","7","5","EUROSAI","false","Moldavia","Moldavia","23.166666666666668","0","7","","1","0.9770083605961468","false","0","Moldavia","20352","0.30787037037037035"
"EFS","3.7099236641221376","0.0017543401891813414","","0.26954732510288065","0.0","4","6","PASAI","false","Micronesia","Micronesia","9.75","0","4","","0","0.967739003998546","false","0","Micronesia","77664","0.546875"
"EFS","2.763358778625954","0.01270620234235866","","0.36187845303867405","0.0","29","5","OLACEFS","false","Mexico","Mexico","16.689655172413794","0","29","","0","0.9790076335877862","false","0","Mexico","221430","0.22098105876639146"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Mauritius","Mauritius","0.0","0","0","","0","Infinity","false","0","Mauritius","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Mauritania","Mauritania","0.0","0","0","","0","Infinity","false","0","Mauritania","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Marruecos","Marruecos","0.0","0","0","","0","Infinity","false","0","Marruecos","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Mancomunidad de las Islas Marianas del Norte","Mancomunidad de las Islas Marianas del Norte","0.0","0","0","","0","Infinity","false","0","Mancomunidad de las Islas Marianas del Norte","0","0.0"
"EFS","2.984732824427481","0.001887783972753604","","0.3350383631713555","0.0","5","5","EUROSAI","false","Malta","Malta","24.2","0","5","","0","0.9763722282806252","false","0","Malta","14934","0.34626865671641793"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Mali","Mali","0.0","0","0","","0","Infinity","false","0","Mali","0","0.0"
"EFS","3.6412213740458017","4.150862149739635E-4","","0.2746331236897275","0.0","2","6","ASOSAI","false","Maldivas","Maldivas","9.5","0","2","","0","0.9685568884042167","false","0","Maldivas","1982","0.5"
